Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Guests Included;Extra People;Minimum Nights;Number of Reviews;Review Scores Rating;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;City
Apartment;Private room;2;4.0;1.0;1.0;Real Bed;20.0;1;5;10;1;100.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;86.0;2;5;1;0;;;;;;;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;66.0;1;0;3;0;;;;;;;flexible;Berlin
Apartment;Shared room;1;2.0;1.0;1.0;Real Bed;30.0;1;0;7;0;;;;;;;strict;Madrid
Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;100.0;1;0;4;14;92.0;9.0;10.0;10.0;10.0;9.0;strict;Santanyí
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;42.0;1;0;2;92;92.0;9.0;10.0;10.0;9.0;9.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;28.0;1;10;1;1;100.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;130.0;1;0;3;65;95.0;9.0;10.0;10.0;10.0;10.0;strict;Paris
Condominium;Private room;2;1.0;1.0;2.0;Real Bed;29.0;1;0;1;4;85.0;9.0;8.0;9.0;9.0;9.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;100.0;1;0;2;0;;;;;;;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;60.0;2;10;1;35;95.0;10.0;10.0;9.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;60.0;1;10;1;0;;;;;;;moderate;Madrid
Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;30.0;1;0;5;2;100.0;10.0;10.0;10.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;24.0;3;9;3;38;95.0;10.0;10.0;10.0;9.0;10.0;moderate;Athina
Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;39.0;1;0;1;37;93.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;18.0;1;0;17;3;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;8;2.0;3.0;4.0;Real Bed;240.0;1;0;1;2;90.0;9.0;9.0;10.0;9.0;8.0;moderate;Madrid
Bed & Breakfast;Private room;2;2.0;1.0;1.0;Real Bed;35.0;1;0;2;49;87.0;9.0;9.0;9.0;10.0;9.0;moderate;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;48.0;2;0;2;66;96.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;65.0;2;20;2;15;91.0;10.0;9.0;9.0;10.0;9.0;moderate;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;20.0;1;0;3;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;98.0;4;15;2;6;90.0;9.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;28.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Pull-out Sofa;46.0;1;0;3;47;86.0;9.0;10.0;10.0;9.0;9.0;strict;Madrid
Bed & Breakfast;Private room;2;1.5;1.0;1.0;Real Bed;55.0;2;30;1;46;96.0;9.0;10.0;10.0;9.0;10.0;flexible;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;90.0;1;10;2;1;80.0;8.0;10.0;10.0;8.0;10.0;strict;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;24.0;1;0;1;17;73.0;7.0;9.0;9.0;8.0;8.0;moderate;Madrid
Condominium;Entire home/apt;5;3.0;3.0;3.0;Real Bed;192.0;2;12;3;2;80.0;9.0;9.0;10.0;10.0;7.0;strict;Madrid
Apartment;Shared room;10;1.0;1.0;10.0;Real Bed;11.0;1;11;1;10;73.0;8.0;9.0;8.0;9.0;7.0;strict;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;250.0;2;25;5;9;98.0;10.0;10.0;10.0;10.0;10.0;strict_new;Roma
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;2;15;1;2;80.0;5.0;10.0;10.0;8.0;9.0;strict;Madrid
House;Private room;1;1.0;1.0;1.0;Real Bed;25.0;1;0;1;3;100.0;10.0;10.0;10.0;9.0;10.0;moderate;Madrid
Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;70.0;4;10;2;1;80.0;10.0;6.0;10.0;8.0;10.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;76.0;2;0;1;10;100.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
House;Private room;1;0.5;1.0;1.0;Real Bed;35.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;31.0;1;0;1;65;91.0;9.0;9.0;10.0;10.0;9.0;strict;Madrid
Apartment;Private room;1;2.0;1.0;1.0;Real Bed;75.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;45.0;1;0;2;6;100.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;21.0;1;19;1;18;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;37.0;1;12;1;5;95.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;1;0;2;1;80.0;8.0;10.0;10.0;10.0;8.0;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;55.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;200.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Shared room;10;1.0;1.0;10.0;Real Bed;11.0;1;15;1;0;;;;;;;strict;Madrid
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;27.0;1;19;1;15;84.0;9.0;10.0;10.0;9.0;8.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;160.0;1;0;2;0;;;;;;;flexible;Barcelona
Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;40.0;1;5;5;9;73.0;8.0;8.0;9.0;10.0;7.0;strict;Madrid
Condominium;Private room;1;1.0;1.0;1.0;Real Bed;30.0;1;0;2;18;99.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;80.0;1;0;1;2;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
